Name,Bag_of_words
Design Thinking Fundamentals,course provides introduction foundational activities related design thinking flexible yet systematic process define solve problems common misconception requires artistry centered artistic principles strategy mindset applied industry problemsas part micromasters program explore methods used evaluate develop ideas create innovative solutions user mind focusing importance understanding development desirable feasible viable provide overview end business management
Basic Spanish 3: Getting there,¡ bienvenidos bienvenidas welcomein spanish course learn basic vocabulary talk everyday life present future past simple brief communication situations expressions time express things happen related shopping list opinion talking health experiences activities happened end able communicate according a2 proficiency level elementary described common european framework reference languages ​​ cefrl council europe designed english speakers offers variety exercises going stages content presentation comprehension production videos small texts audios improve pronunciation glossaries oral practice students quizzes grammar cards recommendations external internet resources continue learning topics revolve work family city outdoor see bit everything engage hope like menu buen provecho bon appétitbasic use understand information tobasic grammatical structures articles nouns adjectives tenses regular irregular verbs language
Sustainability in Architecture: An Interdisciplinary Introduction,course offers interdisciplinary approach sustainabilityin architecture learners introducedto basic elements sustainability assessments first model layer well trends informing space today coursework enables students develop conceptual neighborhood assessing performance urban policies weekparticipants willlearn todevelop architectural buildings building blockof theperformance materials second weekexploresmethods optimizing willdetail needs constraints inherent selecting green blue grey infrastructure third week developthe tools introducing energy measuring potential impact climate change co2 new stainability approached global perspective fourth finalweek explore techniques joint assessment directly connected policy issues
Python Data Structures,course introduce core data structures python programming language move past basics procedural explore use builtin lists dictionaries tuples perform increasingly complex analysis cover chapters 610 textbook everybody covers 3 computer science
The Science and Business of Biotechnology,course focuses earlystage biotechnology companies particular emphasis understanding underlying science technology disease targets — together application novel business structures financing methods facilitate drug discovery clinical development greater patient access new therapiescurrent research enhancing genetic molecular cellular bases many human diseases leading types biotherapeutics cover including recombinant therapeutic proteins monoclonal antibodies antibody conjugates cancer immunotherapies replacement cells genetically engineered nucleic acid gene therapies translating discoveries drugs diagnostics increasingly requires establishment forprofit funding becoming scarcer especially therapeutics “ rare ” affect small populations dearth socalled valley death attributed several factors common thread increasing financial risks biopharma industry uncertainty surrounding scientific medical economic political academic environments within biomedical ecosystem risk inevitably leads outflow capital investors stakeholders seek attractive opportunities industriesby applying techniques portfolio theory securitization derivative securities contexts efficient developed reduce lower cost bring lifesaving patients faster thus also basic analysis lifesciences professional historical returns biotech pharmaceutical industries evaluation potential well mechanics startups budgeting biopharmaceutical applications engineering royalty investment megafunds approval swaps life sciences banking management
Finance Essentials,want study mba unsure basic financial concepts business management course prepares studying finance program generallyyou learn key topics present value internal rate return irr capital budgeting equity bonds diversification portfolio choice asset pricing model capm often discussed explored great detail programs across globe well everyday operationsa completely online work wherever whenever choose home workplace library coffee shop even travelling appropriate network accessthis employs ‘ supported learning ’ help achieve optimum outcomes module imperial college school provides access expert tutor support materials associated activitiesno previous knowledge needed join us start journey world
Introduction to the Internet of Things (IoT),internet things iot expanding rapid rate becoming increasingly important professionals understand works harness power improve business beginner course enable learners leverage andor technical knowledge across iotrelated functions workplacein examine concept look ‘ ’ make including components connected together communicate value add data generated also cybersecurity privacy issues highlight optimize processes efficiencies computer science
'Talk to me': Improving mental health and suicide prevention in young adults,poor mental health affects one four people young adults particularly susceptible feel confident approaching topic care concerned abouttalk improving suicide prevention germanaustralian collaboration developed response growing need provide around knowledge skills understanding recognise identify respond challenges otherskey topics mooc include contributing factors talk addressing strategies increase fitnessplease note course contains content crosses ttm2x managing study stress university modules 1 2 however extra aimed parents teachers professionals gps social workers counsellors coaches gatekeepers positions responsibility regular contact peoplewe grateful following organisations contribution continued support safety
Disaster Medicine Training,course sets foundation semper members ’ disaster knowledge supplemented inperson lectures well field exercises required complete nonsemper interested learning medicine person wishing deploy also welcomed coursedisaster training self pacedcourse featuring video questions case scenarios following module take overall pretest start posttest modules score 80 higher earn statement accomplishment
Nutrition and Health: Human Microbiome,body made human cells also trillions bacteria fungi viruses together make microbiome tremendous impact health example eat drink impacts gut microbes course learn plays important role maintaining normal function digesting certain nutrients early life development behavior disorders like irritable bowel syndrome ibs obesity diabetes distinguish fact fiction microbiota disease today research topics focused nutrition ageing lay within study composition applicability help care professionals gain basic academic understanding youll discover latest insights food fibers added probiotics microbiology knowledge applied daily practice hot topic among researchers especially consumers alike many patients allergic issues struggle emerging connecting imbalance multiple states including allergies finishing know acdemic apply workin complexity balanced healthy safety
Customer Relationship Management,customer relationship management also known crm helps businesses successfully implement strategies practices technolgies aimed winning retaining customers profitably objective business course equip sound foundation concepts best longterm profitabilitybusinesses aim win keep competitors seek even successful firms excellent marketing programs attracting trouble retentionin learn shift shortterm transaction based mode operation understand benefits strong relationstopics covered include
Islam Through Its Scriptures,improve understanding islam important holy text quran make sense tradition interpreted different ways across vast geographical spaces nearly millennium halfusing multimedia studentcentered approach religion course provides tools perspectives role islamic learners develop skills context read also introduced issues classical contemporary interpreters addressed enables explore influence diverse muslim understandings humanities
Mechatronics Revolution: Fundamentals and Core Concepts,mechatronics revolution upon us never easier build robotic devices computercontrolled machines confluence lowcost embedded computers sensors actuators made experimentation prototyping ever course modules explore design process fundamentals microcontrollers systems programming actuator control sensor interfacing several handson labs students solidify knowledge core concepts gain realworld experience building mechatronic successful completion equipped fundamental need harness complete lab assignments must purchase kit tirslkmechkit available mousercom 119 components required verified track provides materials needed small robot currently mouser deliver specific regions countries nigeria cannot parts included separately vendors described audit wish want follow lectures may optionally ti msp432 launchpad development board 1999 allow practice microcontroller skills demonstrated videos engineering
Accounting for Decision-Making,order manager effectively perform role must understanding accounting information systems generate used internal external stakeholdershaving good allows managers communicate finance department bankers suppliers even tax authoritiesin course learn read understand financial statements relevant important terms relate three balance sheet income statement cash flow subsequently develop capability analyze business performance see organization impacted four fundamental drivers profitability asset management cost leverage managementin second part manage costs cover product costing budgeting budgetary control analysis decision makingsuccessfully completing transform confident discussing handling matters workplace help move forward managerial career take senior roles
C Programming: Language Foundations,inthis course part c programming linux professional certificate programyou learn use logical statements arrays used decisionmaking followup instructions based conditions define store keep track organize larger amounts data furthermore implement fundamental algorithms search sort within moments coding handson new browser tool developed specifically receiving instant feedback code need install anything one stable popular languages world also poweralmost allelectronic devices language represents building blocks modern computer information technology end willhave gained experience concepts foundational step closer career engineering received financial support patrick lina drahi foundation science
Becoming a Successful Leader (Inclusive Leadership Training),separates successful leader mediocre one course learn 21stcentury leaders look like adopt inclusive leadership style using research best practices well stories great everyday people practice empowerment accountability courage humility — key skills linked teams throughout meet want possibly incorporating lives short quizzes compelling case studies refine section importantly apply new exciting reallife exercises end create personal plan help continue develop knowledge awareness quest become communication
"English for Journalists, Part 1",english journalists offers instruction language development students studying journalism working want improve proficiency basic understanding interest encouraged sign upin communication course learn key topics essential around world includeissues vocabulary idioms grammar explored well “ ” sponsored us department state developed partnership regional office central southeastern europe voice america educators across eastern offered uc berkeley part ’ mooc camp
Introduction to Networking,selfpaced course provides introduction networkingcourse topics includeby end students able computer science
Accounting Essentials,want study mba unsure basic accounting skills paving way course teach foundational needed achieve success program business generallyyou introduced principles learn financial statements including income statement balance sheet cash flow read interpret information order make informed decisionsthis assumes prior knowledge concepts explained clearly regular activities offer opportunity practice improve confidence management
Introduction to Java Programming: Starting to code in Java,beginner java programming course introduced powerful concepts functional abstraction object oriented oop paradigm application interfaces apis examples case studies provided implement simple programs collaborate peersemphasis put immediate feedback fun experience knowledge useful able program today ’ devices computers smartphones also opens door computational thinking ie computing techniques everyday processesthis edition improved version released april 2015 computer science
European Paintings: From Leonardo to Rembrandt to Goya,learn inspirational work leading european painters approximately 1400 1800 explore issues expressed art painting included broad time frame works leonardo da vinci caravaggio velázquez rembrandt vermeer goyapainters period concerned ideas pursuit beauty pleasures pains associated love demonstration power status relationship men women divinity nature paintings find traces emergence modern mind set perspective respective roles worldthis course focuses images artists listed syllabus discussions take place “ forum ” allow us touch upon broader range humanities
Java Programming Fundamentals,java one indemand programming languages today course designed provide students basic skills knowledge learn solve problems using functions loops conditional statements recursive algorithms objectoriented paradigm opp engineering
Data Science Tools,course youll learn data science tools like jupyter notebooks rstudio ide watson studio tool used programming languages execute features limitations scientists use todaywith hosted cloud able test follow instructions run simple code python r complete create final project notebook ibm demonstrate proficiency preparing writing markdown sharing work peersthis handson get running latest greatest analysis statistics
Statistical Thinking for Data Science and Analytics,statistics data analysis course pave statistical foundation discussion scienceyou learn scientists exercise thinking designing collection derive insights visualizing obtain supporting evidence databased decisions construct models predicting future trends computer science
International Law,international law considered community governs relations states also relates organizations increasingly concerns individuals corporations ngos nonstate actorsas world becomes interdependent complex new institutions put place make effective become exciting expanding field never relied upon used developed despite differences size power culture religion ideologies rely cooperate coexist speak language serves important common languagethis course extensively judgments advisory opinions court justice icj principal judicial organ united nations unhaving acquired basic knowledge youll find easier comprehend subject future subfields like human rights humanitarian investment lawthis teach role plays today gain help better discern legal arguments within flow news reportsthis part micromasters program designed give learners critical understanding dealt regarding
Tourism and Travel Management,want learn industry dynamic fun evolving always challenging peak tourism supported 300 million jobs globally 2018 generated us165 trillion international receipts taking course developed around one worlds premier destinations queensland australia experience challenges solutions reflective everchanging global travel aspiration millions people proven highly resilient sector vital many economies provide substantive insights management facing operators show proper steps follow forresearchinformed resolutions comprises seven modules module codelivered two expert academics partnership events statutory marketing authority several shot onlocation across queenslands features case studies leading hospitality companies interviews prominent professionals addition youll hear public officials representing government bodies destination organisations hotels resorts attractions tour transport local communitieseleven share expertise learner visceral journey selfdiscovery exploration various aspects planning services experiences changing role technology decisionmaking workforce risk tourismthe particularly designed image credit business
Project Management Life Cycle,learn project management multidisciplinary perspective cover fundamental tools techniques managing broad range projectsyou life cycle initiation closing address behavioral quantitative facets well use methods planning execution projects course divided phasesfirst review organizations selection models manager role organization structures better understand initiated also create key deliverable chartersecond projectplanning phase build comprehensive plan covering aspects risk quality scope schedule cost time resource communicationsthird explore monitoring control including earned value analysis reporting case studies examples used help correct actions take keep controlfinally tasks complete effective closurethis part rit micromasters program designed teach skills behaviors necessary successful career order qualify credential need earn verified certificate three courses pass capstone exam business
Solar Energy,third edition solar energy learn design complete photovoltaic system course introduces technology converts electricity heat fuels main focus generation pv devices presented advanced semiconductor deliver directly sunlight emphasis understanding working principle cell fabrication cells module construction gain greater principles conversion — light explores advantages limitations challenges different technologies crystalline silicon thin film latest novel concepts studied labscale discuss specifications modules demonstrate particular applicationeducation methodthe class consist collection eight twelve minute lecture videos exercises assignments exams specified three determine final grade new textbook “ basics systems ” delft university available students online free charge staff encourage challenge interact fellow helping sharing ideas best practices forum happy see incredible number interesting student world previous courseprofessor smets first ever recipient edx prize exceptional contributions teaching learning courses attracted 150000 worldwide inspired take steps transition renewable engineering
Public Speaking,asked many people cite public speaking one biggest fears fact renowned speakers admit extremely anxious front groupsgood performance result ofin course part communication skills professional certificate program study methods help reduce anxiety build confidence customize process successful experiencesthis designed equip knowledge principles necessary formal emphasis organization evidence language use strategy delivery ethics effective media aids
Mindfulness and Resilience to Stress at Work,stress anxiety burnout rampant across workplaces today 80 percent workers feel job nearly half say need help learning manage many organizations may assume intense unavoidable even admirable research suggests much toxic health performance leading harming culture wholethis course offers researchbased strategies building resilience fortifying wellbeing face challenges explains biological psychological impact helps distinguish harmful helpful forms work provides handling healthy productive waysthe zeroes practice mindfulness momentbymoment awareness thoughts feelings sensations comes without judging good bad recent years surge scientific studies documenting value advantages fostering workplace settings covers landscape science ’ relevant modern describes effectively folded drawing case several major companies implemented programsthe instructors expert faculty uc berkeley greater center dacher keltner phd emiliana simonthomas whose earlier edx happiness global phenomenon introducing million students worldwide practices related skills reduction tailor insights needs highlighting stories success trailblazing also identifying try foster business management
Framing Your Communication to Inspire and Convince,order effective leaders need high tolerance complexity beyond inform people outside world strategies policies decisions often inspiring communicators helps reduce concise powerful message course introduces sensemaking mindset critical importance motivating others follow support communication ability inspire convince largely dependent way frame skills playing game framing reframing learn large variety video cases analyze number situations tested probedthe designed introduced reviewing public figures politicians bring awareness techniques see utilized engineering field enables visualize best utilize career successfully upon completion learned use essentials debating methods pitching team supervisor ensure equipped build winning coalitions organization business management
The Chemistry of Life,chemistry biology traditionally taught separate subjects high school level students memorize fundamental scientific principles universally accepted however university industry learn science simple thought constantly confronted questions unknown required use creative integrated approaches solve problems bringing together knowledge multidisciplinary fields empowered ability generate new ideas goal course develop skills generating interface analyzing pioneering studieswhen register registration open throughout life sciences
Nutrition and Health: Micronutrients and Malnutrition,overload information nutrition health truth improve patients learn diet profoundly impacts current future course addresses relationship human focus problems related malnutrition professor sander kersten wageningen university research explain micronutrient vitamins minerals trace elements content foods role body impact moreover discuss suboptimal may affect particular attention global hunger strategies combat finally make familiar nutritional methodologies especially useful care professionals people working food industry nonnutrition background develop critical mind set learning better weigh interpret overall part professional certificate program already complete macronutrients overnutrition first explore opportunities look courses biology life sciences
Digital Design,digital design designing space created contents displayed seen device availability high computing power designers able quickly create designs prior actual deploymentin course learn fundamental concepts wide variety technology opportunity animate well focuses creating 3d objects using computeraided package real life physical simulations combining two techniques rendered animations also introduce virtual reality vr augmented ar applicationsthis allows get handson experience different tools various outputs combined systematic way started excitement whether continuing education hobbyat end
Machine Learning for Data Science and Analytics,machine learning growing field used searching web placing ads credit scoring stock trading many applicationsthis data science course introduction algorithms develop basic understanding principles derive practical solutions using predictive analytics also examine play essential role big analysis computer
The Science of Everyday Thinking,explore psychology everyday thinking people believe weird things form change opinions expectations skew judgments make better decisions well discuss debate topics placebos paranormal medicine miracles moreyou use scientific method evaluate claims sense evidence understand often irrational choices begin rely slow effortful deliberative analytic logical rather fast automatic instinctive emotional stereotypical thinkingwe provide tools think independently skeptical value data personal experience examine mental shortcuts misuse apply knowledge help improve critical business management
Product Management Fundamentals,product management one fastest growing lucrative jobs available today companies awoken desperate need managers create products customers love integrate design functionality business solutions course define fundamentals role coveted launch pad future ceos startup foundersto effective clear understanding duties also required skills competencies appreciation roles responsibilities capabilities beneficial stakeholders team members collaborate managersthis investigates framework success defining manager ’ position organization key examine critical carrying improve discuss engage manage successful productsproduct must know establish organize lead typical development life cycle able select right methodology target market meet challenges leadership consider phases play step variety structures methodologies importance establishing charter lastly explore opportunities commercialization provide orientation marketing concepts developing commercializing innovative services
International Human Rights Law,human rights developed constant dialogue international bodies domestic courts search crosses geographical cultural legal boundaries result unique grammar course shall discuss question examining sources individuals duties states mechanisms protectionwe rely extensively comparative material different jurisdictions study wide range topics including religious freedom multicultural societies employment relationships economic social development context fight terrorismat end ’ able law
The Best Start in Life: Early Childhood Development for Sustainable Development,successful early childhood care program look like child ’ brain developed age 3 nutrition impact future wellbeing adulthood learn answers questions best start life development sustainable leading experts field – hailing harvard university new york unicef among institutions explore neuroscience sociology anthropology studies influenced understanding course education teacher training
Data Science and Machine Learning Capstone Project,coursenow youve taken several courses data science machine learning ’ time put work problem involving real life scenario employers really care well apply knowledge skills solve world problems capstone project make stand job market explore sets new york 311 system used yorkers report complaints nonemergency face upon reported various agencies get assigned resolve related available city open dataset investigation one see last years coming department housing preservation development increased significantly task find answers questions would help effectively tackle need use techniques learned previous python including ingestion exploration visualization feature engineering probabilistic modeling model validation end course tools create showcase demonstrate ready worthy candidate field analysis statistics
"Data Science for Construction, Architecture and Engineering",building industry exploding data sources impact energy performance built environment health wellbeing occupants spreadsheets ’ cut anymore sole analytics tool professionals field participating mainstream science courses might provide skills programming statistics however applied context buildings missing important part beginners course focuses development specifically sector targets architects engineers construction facilities managers little previous experience introduction given life cycle phases participants use large open sets design operations learn practice techniques essentially designed add new tools supplement major technical topics include loading processing visualization basic machine learning using python language pandas scikit libraries webbased colaboratory addition numerous paths various environmentrelated tasks facilitate growth analysis
"Nutrition, Heart Disease and Diabetes",learn role nutrition relation diseases circulatory system diabetes major causes death worldwide youll etiology heart attacks type 2 stroke forms cardiovascular often occur biological modifiable risk factors blood pressure cholesterol obesity impact different wayafter completing course also gained adeeper insight underlying pathophysiological mechanisms insulin resistance epigenetic dieticians doctors get questions patients improve healthin coursepart professional certificate program diseaseyou interaction nutrients diets cardiometabolic disease current progress research willlearn diseasescan prevented population level lifestyle dietary modifications especially valuable professionals training various disciplines related health eg nutritionists epidemiologists public workers physicians care policy makers educators biologists food scientists part thenutrition wageningen university already complete cancer
Project Management for Development,course offered englishone challenges faced every day governments public organizations nongovernmental development agencies stakeholders promote economic social latin america caribbean transforming proposals concrete realities improve society ’ wellbeing provide results within time resources availablethis introduces concepts tools applied project management generate material changes meet expected objectives limited mooc strengthens participants capacity manage government projects nonprofit civil executed efficiently effectively70 students taken state improved ability formulate implement andor evaluate policiesthe based interamerican bank pm4r methodology pmbok ® guide sixth edition pmi created idb institute indesparticipants receive certificate also obtain 35 pdus indes registered education provider repto pass must dedicate approximately 3 hours per week 10 weeks however selfpaced modality provides flexibility take maximum 87 months april 2nd 2020the creation funded institutional strengthening fund icsf thanks contribution people republic chinapmbok trademark inc business
Introduction to Cloud Infrastructure Technologies,new cloud sure begin beginner course taught experts linux foundation help grasp basics computing comprehend terminology tools technologies associated today ’ top platformsunderstanding tops list important skills developer system administrator network professional seeking lucrative career technology however getting started researching things complicated time consuming maps entire landscape explains various platforms fit togetherexperts guide stepbystep navigate host worlds leading open source projects provide training networking opportunities educate talent pool support respected neutral nonprofit education anyone learning build manage infrastructurethis gives primer use software maximize development operations topics covered includeno previous experience required introduction infrastructure knowledge make smart decisions services applications depending needs computer science
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",fashion industry large influence global economy known social environmental impact everywhere new sustainable initiatives arising recycling upcycling creating clothes compostable materials circularity tough complex phenomenon future bring us indeed going decompose gardenthis online course brings comprehensive introduction circular brought roughly thirty different experts academia practice learn versatile task transitioning towards unique collaboration wageningen university research artez arts many expertsafter know core concepts tools help better understand topics covered focus understanding challenge design alternative textiles biobased innovation business modelling innovations marketfor whomthis provide designers retailers scientists engineers working interest holistic insights challenges engaging start transition within personal andor professional practices together art science move beyond egocentric approach ecosystems perspectivelearn theory journey join movement industry1 difference sustainability 2 ecosystem 3 closing loop 4 materialism 5 crafting value culture
Machine Learning,machine learning basis exciting careers data analysis today ’ learn models methods apply real world situations ranging identifying trending news topics building recommendation engines ranking sports teams plotting path movie zombiesmajor perspectives covered includetopics include classification regression clustering sequential matrix factorization topic modeling model selectionmethods linear logistic support vector machines tree classifiers boosting maximum likelihood map inference em algorithm hidden markov kalman filters kmeans gaussian mixture among othersin first half course cover supervised techniques framework possess output response wish predict based set inputs discuss several fundamental performing task algorithms optimization approach practically motivated meaning fully develop mathematical understanding respective briefly touch abstract theoryin second shift unsupervised problems end goal less clearcut predicting corresponding input three orderdependent applications object computer science
Free Cash Flow Analysis,course learners begin apply lessons concepts introduction corporate finance discuss basics firm valuationfollow professor wolfenzons lead learn free cash flow method applied value firms also valuation using multiples throughout construct excel models completing hands activities business management
Lean Production,learn lean management customercentric methodology improves processes eliminating waste focusing valueadded tasksthis course introduce main tenets toyota production system includes justintime manufacturing quality tools critical concept kaizen japanese practice continuous improvement also key organization managerial approaches used leanyou analyze process flows order establish capacity identify bottleneck calculate resource utilization cycle time evaluate impact set times batching defects reworks performance measures including inventory flow rate timewe discuss concepts heijunka kanban jidoka andon poka yoke 5s help achieve increased productivity qualityupon successful completion program learners earn tum six sigma yellow belt certification confirming mastery fundamentals green level material based american society wwwasqorg body knowledge professional certificate designed preparation exam business
Introduction to Algebra,live world numbers see every day clocks stock market sports news algebra figuring dont might know fast throw ball use number determine far keep track prices figure much money youve made lost may already tell time calculate times hour minute hands exactly aligned answer questions using solve unknown essential tool high school collegelevel math science engineering youre starting one fields havent yet mastered course youll able choose path within lesson jump lessons quickly review earlier material algebrax covers standard curriculum ccss common core alignment indicated applicablelearn ap exam preparation courses
"LaTeX for Students, Engineers, and Scientists",latex document preparation system widely used publishing many scientific fields like mathematics statistics computer science engineering chemistry physics economics linguistics etc powerful opensource provides numerous facilities automating typesetting ie structuring page layout listing autonumbering sections tables figures generating table contents managing crossreferencing citing indexing unlike wysiwyg editors content written plain text along appropriate commands thus allowing user concentrate rather aesthetics way looks tex program uses designed anyone create good quality material less efforts course introduces basic concepts participants taking able design documents presentations beamer confidence
Leading With Effective Communication (Inclusive Leadership Training),take inspire others promote novel idea even difficult conversation position leader inclusive communication know message intending send received join catalyst experts explore topic important role plays leadershipall often struggle communicate effectively — particularly different us way course show effective utilizes leadership mindset empowerment accountability courage humility guide use research realworld examples learn strategies enhance skills approach topics include understanding dialogue processes debunking everyday myths testing assumptions listening expressing authentically communicating across differences short quizzes compelling case studies engaging videos develop knowledge section share experience learnersthroughout create plan action help apply learned work parts life
Anatomy: Musculoskeletal and Integumentary Systems,anatomy course part xseries learn components integumentary system help protect body epidermis dermis hair nails glands musculoskeletal bones joints skeletal muscles protects allows moveyou engage fascinating videos lectures anatomical visual materials illustrations cadaveric images properties functions biology life sciences
"Inglés empresarial: ventas, gestión y liderazgo",conviértete en un ciudadano global obtén las habilidades necesarias para lograr sobresalir tu lugar actual de trabajo poder alcanzar el siguiente paso al éxito laboraleste curso inglés línea te brindará lingüísticas conversacionales básicas mundo los negocios lo que permitirá comunicarte con jefes colegas personal forma eficaz tales como escuchar analizar antes hablar plantear correctamente una presentación dirigir reunión cerrar tratoobtén entrenamiento profesional básico siempre deseado la mano profesionistas experiencia campo laboral angloparlante triunfa prepárate internacionalizar negocio enfrentarte globalizado gracias uso terminología propia del negocioslogra aplicar tus conocimientos proactiva mismo tiempo recibes toda enseñanza motivación herramientas crecer profesionalmente bases sólidas este idioma periodo conciso práctico utilizando cualquier dispositivo móvil business management
Business Strategy from Wharton: Competitive Advantage,maintaining competitive advantage takes great timing single solution sustainable requires welldesigned wellexecuted strategy course created give tools frameworks need develop execute successful strategyyou ’ learn evaluate well locate sources potential perspective encompasses internal external dynamic fit also enhance ability assess strategic impact moves competitors maintain understand general drivers create sustain identify organizational barriers changeby end able redesign current plans effective implementation firm business management
"Six Sigma: Analyze, Improve, Control",learn statistically analyze data six sigma methodology using inferential statistical techniques determine confidence intervals test hypotheses based sample also review cause effect root analysisyou perform correlation regression analyses order confirm understand improve process plan designed experimentsyou implement control charts quality management tools including 8 disciplines 5 whys reduce risk manage deviationsto complement lectures learners provided interactive exercises allow see statistics action master concepts completing practice problems reinforced case studies illustrate application improvement situationsupon successful completion program earn tum lean yellow belt certification confirming mastery fundamentals green level material american society wwwasqorg body knowledge professional certificate preparation exam business
AP® Microeconomics,want learn individuals businesses make decisions drive economy use skills ace microeconomics ap ® exam course youthis economics introduction basic microeconomic principles ranging type goods buy many hours work firms workers hire prices charge study evaluate economic outcomes perspective efficiency fairness discuss proper role government determining outcomesthis cover material required mix intuitive explanations realworld applications graphical mathematical supplements explore content depth end understanding important ’ able better understand workings real world around youadvanced placement trademarks registered andor owned college board involved production endorse offerings finance
Engineering Calculus and Differential Equations,electrical engineers find currents voltages network connected components civil calculate materials necessary construct curved dome new sports arena space flight launch exploratory probe questions like pique interest course calculus differential equations universal language “ engineering ” introduce fundamental concepts singlevariable ordinary well explore applications different fields particular learn apply mathematical skills model solve real problems enable develop profound understanding enhance solving words youwill able relatively simple models change deduce consequences studying monitor even controla given system want techniques widely used illustrated laplace transform vibrations signal processing designed animations interactive visualizations supplement complex theories facilitate dynamic nature topics involving math
Linear Algebra - Foundations to Frontiers,linear algebra foundations frontiers laff packed full challenging rewarding material essential mathematicians engineers scientists anyone working large datasets students appreciate unique approach teaching becausein course learn standard topics taught typical undergraduate courses world using method youll also get developed following syllabus beginner university texas austin professor robert van de geijn expert high performance libraries short videos exercises visualizations programming assignments study vector matrix operations transformations solving systems equations spaces leastsquares eigenvalues eigenvectors addition glimpse cutting edge research development used throughout computational sciencematlab licenses made available participants free charge duration see former learners say read reviews coursetalkwe invite us computer science
Effective Communication for Today's Leader,interpersonal communication one important management skills everyday relate bosses collaborators customers colleaguesbeing good communicator synonym leaderinterpersonal group helps us create better business environments therefore resultsunderstand importance peoples lives thus boost improvement ability effectively socializeidentify concept clarify importancedevelop assertiveness empathyapply performance feedback achieve organizational objectives
Electric Cars: Technology,electric cars novel means mobility recognized essential building block energy transition fulfilling promise imply significant change technical digital social dimensions transport infrastructure interested learning stateoftheart technology behind course focuses explore working principle vehicles delve key roles played motors power electronics learn battery ev charging smart future trends development includes video lectures presentations exercises illustrated realworld case studies projects implemented netherlands codeveloped dutch innovation centre road dutchincert tu delft taught experts industry academia share knowledge insights join prepared upcoming developments amid engineering
Site Planning Online,cities built site planning taught urban landscape architecture programs century continues foundation course aspire plan environment required subject licensing certification disciplines mastering art requires substantive knowledge wellhoned design skills familiarity examples prototypes organization provides perspectives leading academics practitioners important issues preparing plans offers opportunity apply learned planhow analyze imagine possibilities use create program make choices infrastructure well planned sites
Macroeconometric Forecasting,macroeconomics course learn predict macroeconomic variables inflation growth consumption create statistical models economics use responses economic policyyou handson demonstrations modelbuilding forecasting policy analysis using data sets wide variety countries applications conducted eviews — popular software estimating simulating windows free temporary licenses made available duration coursemacroeconometric offered imf financial support government japan finance
Algorithms,algorithms power biggest web companies promising startups interviews tech start questions probe good algorithm thinkingin computer science course learn think create using sorting techniques quick sort merge searching median finding order statisticsthe progresses numerical string geometric like polynomial multiplication matrix operations gcd pattern matching subsequences sweep convex hull concludes graph shortest path spanning treetopics coveredthis part fundamentals xseries program
Calculus Applied!,course go beyond calculus textbook working practitioners social life physical sciences understand mathematical models play role workthrough series case studies ’ learnwith real guide explore situations handson way looking data graphs writing equations computations making educated guesses predictionsthis provides unique supplement singlevariable key topics include application derivatives integrals differential parametersthis anyone completed currently taking integral high school ap ib collegeuniversity level need familiar basics well functions involving polynomials exponentials logarithmsthis learn applications fields whether student finished beginner teacher authentic examples classroom something hope join us math
